machine_identifier,start_ts,end_ts,duration_in_s,identifier,station,station_instance,subsystem_instance,code
innovative_cheese_machine,2022-05-03T08:04:47.337Z,2022-05-03T08:06:19.613Z,92.276,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-05-03T08:06:19.637Z,2022-05-03T08:06:32.730Z,13.093,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-05-03T08:06:32.970Z,2022-05-03T08:06:44.346Z,11.376,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-05-03T08:06:44.370Z,2022-05-03T08:06:58.125Z,13.755,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-05-03T08:06:58.149Z,2022-05-03T08:09:54.155Z,176.006,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-05-03T08:09:54.179Z,2022-05-03T08:10:33.479Z,39.3,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-05-03T09:28:57.720Z,2022-05-03T09:29:27.789Z,30.069,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-03T09:30:41.533Z,2022-05-03T09:31:18.161Z,36.628,93.0.122.0.1019.0.1.0,93,0,0,1019
innovative_cheese_machine,2022-05-03T09:50:45.690Z,2022-05-03T09:51:21.383Z,35.693,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-03T10:18:49.985Z,2022-05-03T10:19:34.983Z,44.998,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-03T11:57:09.519Z,2022-05-03T11:59:21.521Z,132.002,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-05-03T12:00:05.349Z,2022-05-03T12:00:35.417Z,30.068,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-03T12:09:09.298Z,2022-05-03T12:14:39.432Z,330.134,1.0.130.1.1179.0.3.0,1,0,1,1179
innovative_cheese_machine,2022-05-03T14:52:34.954Z,2022-05-03T14:52:52.822Z,17.868,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-03T14:55:06.732Z,2022-05-03T14:55:42.276Z,35.544,93.0.122.0.1019.0.1.0,93,0,0,1019
innovative_cheese_machine,2022-05-03T14:58:58.606Z,2022-05-03T15:02:44.824Z,226.218,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-05-03T18:57:20.906Z,2022-05-03T19:00:53.945Z,213.039,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-05-03T22:02:52.700Z,2022-05-03T22:03:09.780Z,17.08,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-05-04T00:24:00.885Z,2022-05-04T00:24:36.858Z,35.973,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-04T01:12:56.578Z,2022-05-04T01:13:07.654Z,11.076,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T01:45:56.452Z,2022-05-04T01:46:51.948Z,55.496,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T02:21:49.987Z,2022-05-04T02:23:10.763Z,80.776,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T02:50:16.266Z,2022-05-04T02:50:27.942Z,11.676,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T03:46:50.172Z,2022-05-04T03:47:00.275Z,10.103,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T03:52:06.479Z,2022-05-04T03:52:18.600Z,12.121,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T04:44:42.760Z,2022-05-04T04:44:51.593Z,8.833,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-04T05:02:09.327Z,2022-05-04T05:04:06.688Z,117.361,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-05-04T05:13:52.557Z,2022-05-04T05:14:10.713Z,18.156,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T05:32:20.905Z,2022-05-04T05:34:25.886Z,124.981,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-04T05:37:33.104Z,2022-05-04T05:37:43.891Z,10.787,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T05:38:26.140Z,2022-05-04T05:40:26.856Z,120.716,92.0.0.0.2030.0.82.0,92,0,0,2030
innovative_cheese_machine,2022-05-04T06:37:13.773Z,2022-05-04T06:37:43.841Z,30.068,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T07:21:51.507Z,2022-05-04T07:22:06.928Z,15.421,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T07:24:47.714Z,2022-05-04T07:24:59.890Z,12.176,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T07:33:48.980Z,2022-05-04T07:40:29.546Z,400.566,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-04T08:00:59.621Z,2022-05-04T08:01:09.401Z,9.78,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T08:03:05.814Z,2022-05-04T08:03:40.343Z,34.529,93.0.122.0.1019.0.1.0,93,0,0,1019
innovative_cheese_machine,2022-05-04T08:55:42.541Z,2022-05-04T08:58:18.423Z,155.882,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-05-04T09:10:23.300Z,2022-05-04T09:10:39.694Z,16.394,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T09:29:19.265Z,2022-05-04T09:29:29.120Z,9.855,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-04T09:44:58.210Z,2022-05-04T09:45:28.278Z,30.068,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T09:59:16.706Z,2022-05-04T09:59:29.886Z,13.18,20.0.345.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-05-04T10:49:16.790Z,2022-05-04T10:49:46.859Z,30.069,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T10:56:08.511Z,2022-05-04T10:56:22.799Z,14.288,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T11:03:54.787Z,2022-05-04T11:04:23.855Z,29.068,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T12:10:03.763Z,2022-05-04T12:13:27.213Z,203.45,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-04T12:25:42.788Z,2022-05-04T12:28:22.653Z,159.865,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-04T12:49:34.450Z,2022-05-04T12:50:31.180Z,56.73,93.0.122.0.1019.0.1.0,93,0,0,1019
innovative_cheese_machine,2022-05-04T13:13:08.455Z,2022-05-04T13:13:38.524Z,30.069,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T13:57:53.380Z,2022-05-04T13:57:53.620Z,0.24,93.0.122.0.1019.0.1.0,93,0,0,1019
innovative_cheese_machine,2022-05-04T14:02:48.484Z,2022-05-04T14:05:46.636Z,178.152,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-04T14:51:23.600Z,2022-05-04T14:51:55.584Z,31.984,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-04T14:52:25.705Z,2022-05-04T14:53:36.985Z,71.28,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-04T15:19:03.500Z,2022-05-04T15:19:36.378Z,32.878,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T15:39:18.341Z,2022-05-04T15:39:34.668Z,16.327,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T18:29:23.500Z,2022-05-04T18:33:07.579Z,224.079,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-05-04T18:58:21.645Z,2022-05-04T18:58:54.566Z,32.921,20.0.345.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-05-04T20:17:17.470Z,2022-05-04T20:19:32.668Z,135.198,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T20:55:27.893Z,2022-05-04T20:59:40.267Z,252.374,91.0.122.0.1019.0.1.0,91,0,0,1019
innovative_cheese_machine,2022-05-04T21:10:54.782Z,2022-05-04T21:11:32.998Z,38.216,1.0.130.1.1010.0.1.0,1,0,1,1010
